ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1416334751.32561,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,41222,39822,39803,490,88049
1416334751.32561,pg_catalog,pg_type,pg_type_typname_nsp_index,4520,3463,3253,1254,10842
1416334751.32561,pg_catalog,pg_type,pg_type_oid_index,169362,168906,168906,466,346490
1416334751.32561,pg_toast,pg_toast_2619,pg_toast_2619_index,30706,102727,102727,377,35459
1416334751.32561,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_2618,pg_toast_2618_index,688,2196,2196,114,996
1416334751.32561,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1416334751.32561,public,lineitem,lineitem_l_orderkey_idx_part1,0,0,0,1,16
1416334751.32561,public,lineitem,lineitem_l_shipdate_l_suppkey__idx,0,0,0,1,16
1416334751.32561,public,lineitem,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,0,0,0,1,16
1416334751.32561,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,1,16
1416334751.32561,public,lineitem,pk_lineitem,38,38,38,8,161
1416334751.32561,public,lineitem,lineitem_l_orderkey_idx,0,0,0,1,16
1416334751.32561,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,18,18,18,8,81
1416334751.32561,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,0,0,0,1,16
1416334751.32561,pg_catalog,pg_authid,pg_authid_oid_index,7292,7292,7292,228,14356
1416334751.32561,pg_catalog,pg_authid,pg_authid_rolname_index,7247,7247,7247,234,14260
1416334751.32561,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,146973,333097,333097,1020,303831
1416334751.32561,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,231,231,231,375,3509
1416334751.32561,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,8778,39802,39802,1597,22798
1416334751.32561,pg_catalog,pg_proc,pg_proc_oid_index,55502,55502,55502,1177,116842
1416334751.32561,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_constraint,pg_constraint_oid_index,64,32,32,8,152
1416334751.32561,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,8,56
1416334751.32561,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,8,56
1416334751.32561,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,8,56
1416334751.32561,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,230,0,0,100,130
1416334751.32561,pg_catalog,pg_index,pg_index_indexrelid_index,66728,66946,66728,215,74236
1416334751.32561,pg_catalog,pg_index,pg_index_indrelid_index,17186,51817,51817,368,21494
1416334751.32561,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_opclass,pg_opclass_oid_index,33286,33286,33286,220,40606
1416334751.32561,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,11150,465480,465480,503,13729
1416334751.32561,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_amop,pg_amop_opr_fam_index,27528,57715,57715,526,59657
1416334751.32561,pg_catalog,pg_amop,pg_amop_fam_strat_index,38392,38392,38392,569,79700
1416334751.32561,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,32211,50777,50777,310,71652
1416334751.32561,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,3947,3947,3947,652,6223
1416334751.32561,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,1336,1209,1082,241,2048
1416334751.32561,pg_catalog,pg_rewrite,pg_rewrite_oid_index,381,254,254,170,475
1416334751.32561,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,382,0,0,107,275
1416334751.32561,pg_catalog,pg_description,pg_description_o_c_o_index,1020,0,0,288,1982
1416334751.32561,pg_catalog,pg_cast,pg_cast_source_target_index,246119,58387,58387,216,252923
1416334751.32561,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_database,pg_database_oid_index,10440,10440,10440,234,18032
1416334751.32561,pg_catalog,pg_database,pg_database_datname_index,15066,15066,15066,218,22659
1416334751.32561,pg_catalog,pg_namespace,pg_namespace_oid_index,18888,18888,18888,276,19141
1416334751.32561,pg_catalog,pg_namespace,pg_namespace_nspname_index,20169,12938,12938,217,27183
1416334751.32561,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,31304,0,0,100,31204
1416334751.32561,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,10,10
1416334751.32561,pg_catalog,pg_tablespace,pg_tablespace_oid_index,5189,5189,5189,314,10064
1416334751.32561,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_shdepend,pg_shdepend_reference_index,230,230,230,214,246
1416334751.32561,pg_catalog,pg_shdepend,pg_shdepend_depender_index,1020,0,0,194,1056
1416334751.32561,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_rowsecurity,pg_rowsecurity_polname_relid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_rowsecurity,pg_rowsecurity_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,920,0,0,96,824
1416334751.32561,pg_catalog,pg_seclabel,pg_seclabel_object_index,1020,0,0,94,926
1416334751.32561,pg_catalog,pg_shseclabel,pg_shseclabel_object_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_collation,pg_collation_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_collation,pg_collation_name_enc_nsp_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_range,pg_range_rngtypid_index,1769,0,0,662,2876
1416334751.32561,public,nation,pk_nation,42,42,42,2,49
1416334751.32561,pg_toast,pg_toast_12320,pg_toast_12320_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_12325,pg_toast_12325_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_12330,pg_toast_12330_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_12335,pg_toast_12335_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_12340,pg_toast_12340_index,0,0,0,0,0
1416334751.32561,pg_toast,pg_toast_12345,pg_toast_12345_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,365,1235
1416334751.32561,pg_catalog,pg_class,pg_class_relname_nsp_index,28113,14587,14372,718,63578
1416334751.32561,pg_catalog,pg_class,pg_class_oid_index,149744,149339,147045,608,307526
1416334751.32561,public,region,pk_region,8,8,8,2,9
1416334751.32561,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,25611,266887,266887,775,55905
1416334751.32561,pg_catalog,pg_operator,pg_operator_oid_index,30968,30968,30968,642,66641
1416334751.32561,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1416334751.32561,pg_catalog,pg_depend,pg_depend_reference_index,7387,8200,6766,1574,17268
1416334751.32561,pg_catalog,pg_depend,pg_depend_depender_index,2166,3510,3510,841,7576
1416334751.32561,pg_toast,pg_toast_12315,pg_toast_12315_index,0,0,0,0,0
1416334751.32561,public,supplier,supplier_s_suppkey_idx_like,0,0,0,1,9
1416334751.32561,public,supplier,pk_supplier,42,42,42,4,90
1416334751.32561,public,supplier,supplier_s_nationkey_s_suppkey_idx,0,0,0,1,9
1416334751.32561,public,part,pk_part,26,26,26,6,80
1416334751.32561,public,part,part_p_type_p_partkey_idx,0,0,0,1,7
1416334751.32561,public,part,part_p_container_p_brand_p_partkey_idx,0,0,0,1,7
1416334751.32561,public,part,part_p_name_idx,0,0,0,1,7
1416334751.32561,public,part,part_p_size_idx,0,0,0,1,7
1416334751.32561,public,partsupp,pk_partsupp,16,16,16,6,47
1416334751.32561,public,partsupp,partsupp_ps_suppkey_idx,26,26,26,6,77
1416334751.32561,public,customer,pk_customer,28,28,28,6,86
1416334751.32561,public,customer,customer_c_phone_idx_c_acctbal,0,0,0,1,7
1416334751.32561,public,customer,customer_c_phone_idx,0,0,0,1,7
1416334751.32561,public,customer,customer_c_mktsegment_c_custkey_idx,0,0,0,1,7
1416334751.32561,public,customer,customer_c_nationkey_c_custkey_idx,0,0,0,1,7
1416334751.32561,public,orders,pk_orders,30,30,30,6,96
1416334751.32561,public,orders,orders_o_orderdate_o_orderkey_idx,0,0,0,1,11
1416334751.32561,public,orders,orders_o_orderkey_o_orderdate_idx,0,0,0,1,11
1416334811.32859,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,41277,39864,39845,491,88166
