ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1416335410.51405,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,41824,40286,40267,503,89341
1416335410.51405,pg_catalog,pg_type,pg_type_typname_nsp_index,4556,3492,3280,1277,10916
1416335410.51405,pg_catalog,pg_type,pg_type_oid_index,172147,171687,171687,474,352189
1416335410.51405,pg_toast,pg_toast_2619,pg_toast_2619_index,30973,103596,103596,381,35779
1416335410.51405,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1416335410.51405,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1416335410.51405,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1416335410.51405,pg_toast,pg_toast_2618,pg_toast_2618_index,739,2360,2360,122,1070
1416335410.51405,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1416335410.51405,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1416335410.51405,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1416335410.51405,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1416335410.51405,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1416335410.51405,public,lineitem,lineitem_l_orderkey_idx_part1,1277697,39401989,39401989,207817,5162477
1416335410.51405,public,lineitem,lineitem_l_shipdate_l_suppkey__idx,4,14358199,0,89078,188635
1416335410.51405,public,lineitem,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,1195647,1453539,1453539,231031,4814031
1416335410.51405,public,lineitem,lineitem_l_orderkey_idx_part2,1,7197404,7197404,19754,21483
1416335410.51405,public,lineitem,pk_lineitem,1199899,2726868,2726868,318568,4729176
1416335410.51405,public,lineitem,lineitem_l_orderkey_idx,0,0,0,480,238922
1416335410.51405,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,547789,16132100,15732475,207519,2305761
1416335410.51405,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,1,14822992,14822992,40666,44560
1416335410.51405,pg_catalog,pg_authid,pg_authid_oid_index,7422,7422,7422,232,14612
1416335410.51405,pg_catalog,pg_authid,pg_authid_rolname_index,7377,7377,7377,238,14516
1416335410.51405,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1416335410.51405,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1416335410.51405,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1416335410.51405,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,150181,339169,339169,1040,310407
1416335410.51405,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,232,232,232,381,3527
1416335410.51405,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,8959,40533,40533,1622,23258
1416335410.51405,pg_catalog,pg_proc,pg_proc_oid_index,56640,56640,56640,1192,119230
1416335410.51405,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1416335410.51405,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1416335410.51405,pg_catalog,pg_constraint,pg_constraint_oid_index,64,32,32,8,152
1416335410.51405,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,8,56
1416335410.51405,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,8,56
1416335410.51405,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,8,56
1416335410.51405,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1416335410.51405,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,232,0,0,102,130
1416335410.51405,pg_catalog,pg_index,pg_index_indexrelid_index,67544,67762,67544,221,75188
1416335410.51405,pg_catalog,pg_index,pg_index_indrelid_index,17474,52528,52528,372,21854
1416335410.51405,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1416335410.51405,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1416335410.51405,pg_catalog,pg_opclass,pg_opclass_oid_index,33705,33705,33705,226,41160
1416335410.51405,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,11272,470603,470603,507,13898
